2026-03-17 17:35:00 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json "HTTP/1.1 200 OK"
2026-03-17 17:35:01 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
2026-03-17 17:35:01 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-03-17 17:35:02 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
2026-03-17 17:35:03 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-03-17 17:35:03 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
2026-03-17 17:35:04 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/README.md "HTTP/1.1 200 OK"
2026-03-17 17:35:04 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json "HTTP/1.1 307 Temporary Redirect"
2026-03-17 17:35:05 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json "HTTP/1.1 200 OK"
2026-03-17 17:35:06 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/sentence_bert_config.json "HTTP/1.1 307 Temporary Redirect"
